,Name,Price,Team 1,Position,Round,Team 2,Date,Score,id,pl_pos_id,is_selected
54,Bryce Gibbs,487000,Crows,DE,3,Suns,Fri 2 Apr 7:20pm,92.0,R:3_P:Bryce Gibbs,R:3_P:Bryce Gibbs_DE,1
55,Bryce Gibbs,487000,Crows,DE,5,Dockers,Sun 18 Apr 12:40pm,77.0,R:5_P:Bryce Gibbs,R:5_P:Bryce Gibbs_DE,1
56,Bryce Gibbs,487000,Crows,DE,7,Giants,Sat 1 May 12:00pm,70.36363636363636,R:7_P:Bryce Gibbs,R:7_P:Bryce Gibbs_DE,1
57,Bryce Gibbs,487000,Crows,DE,10,Demons,Sat 22 May 12:00pm,84.18181818181819,R:10_P:Bryce Gibbs,R:10_P:Bryce Gibbs_DE,1
58,Bryce Gibbs,487000,Crows,DE,12,Magpies,Sat 5 Jun 12:00pm,59.54545454545455,R:12_P:Bryce Gibbs,R:12_P:Bryce Gibbs_DE,1
59,Bryce Gibbs,487000,Crows,DE,16,Lions,Sat 3 Jul 12:00pm,74.81818181818181,R:16_P:Bryce Gibbs,R:16_P:Bryce Gibbs_DE,1
60,Bryce Gibbs,487000,Crows,DE,18,Eagles,Sat 17 Jul 12:00pm,73.45454545454545,R:18_P:Bryce Gibbs,R:18_P:Bryce Gibbs_DE,1
61,Bryce Gibbs,487000,Crows,DE,20,Hawks,Sat 31 Jul 12:00pm,85.54545454545455,R:20_P:Bryce Gibbs,R:20_P:Bryce Gibbs_DE,1
62,Bryce Gibbs,487000,Crows,DE,21,Power,Sat 7 Aug 12:00pm,85.54545454545455,R:21_P:Bryce Gibbs,R:21_P:Bryce Gibbs_DE,1
63,Bryce Gibbs,487000,Crows,DE,23,Kangaroos,Sat 21 Aug 12:00pm,80.45454545454545,R:23_P:Bryce Gibbs,R:23_P:Bryce Gibbs_DE,1
64,Bryce Gibbs,487000,Crows,DE,2,Swans,Sat 27 Mar 1:45pm,95.25,R:2_P:Bryce Gibbs,R:2_P:Bryce Gibbs_DE,1
65,Bryce Gibbs,487000,Crows,DE,4,Kangaroos,Sun 11 Apr 1:10pm,80.45454545454545,R:4_P:Bryce Gibbs,R:4_P:Bryce Gibbs_DE,1
66,Bryce Gibbs,487000,Crows,DE,6,Hawks,Sun 25 Apr 12:30pm,85.54545454545455,R:6_P:Bryce Gibbs,R:6_P:Bryce Gibbs_DE,1
67,Bryce Gibbs,487000,Crows,DE,8,Power,Sat 8 May 12:00pm,85.54545454545455,R:8_P:Bryce Gibbs,R:8_P:Bryce Gibbs_DE,1
68,Bryce Gibbs,487000,Crows,DE,9,Eagles,Sat 15 May 12:00pm,73.45454545454545,R:9_P:Bryce Gibbs,R:9_P:Bryce Gibbs_DE,1
69,Bryce Gibbs,487000,Crows,DE,11,Tigers,Sat 29 May 12:00pm,67.45454545454545,R:11_P:Bryce Gibbs,R:11_P:Bryce Gibbs_DE,1
70,Bryce Gibbs,487000,Crows,DE,13,Saints,Sat 12 Jun 12:00pm,76.45454545454545,R:13_P:Bryce Gibbs,R:13_P:Bryce Gibbs_DE,1
71,Bryce Gibbs,487000,Crows,DE,15,Blues,Sat 26 Jun 12:00pm,78.63636363636364,R:15_P:Bryce Gibbs,R:15_P:Bryce Gibbs_DE,1
72,Bryce Gibbs,487000,Crows,DE,17,Bombers,Sat 10 Jul 12:00pm,57.45454545454545,R:17_P:Bryce Gibbs,R:17_P:Bryce Gibbs_DE,1
73,Bryce Gibbs,487000,Crows,DE,19,Bulldogs,Sat 24 Jul 12:00pm,79.63636363636364,R:19_P:Bryce Gibbs,R:19_P:Bryce Gibbs_DE,1
74,Bryce Gibbs,487000,Crows,DE,22,Demons,Sat 14 Aug 12:00pm,84.18181818181819,R:22_P:Bryce Gibbs,R:22_P:Bryce Gibbs_DE,1
75,Taylor Walker,366000,Crows,FO,1,Cats,Sat 20 Mar 4:05pm,46.0,R:1_P:Taylor Walker,R:1_P:Taylor Walker_FO,1
76,Taylor Walker,366000,Crows,FO,3,Suns,Fri 2 Apr 7:20pm,53.0,R:3_P:Taylor Walker,R:3_P:Taylor Walker_FO,1
77,Taylor Walker,366000,Crows,FO,5,Dockers,Sun 18 Apr 12:40pm,55.27272727272727,R:5_P:Taylor Walker,R:5_P:Taylor Walker_FO,1
78,Taylor Walker,366000,Crows,FO,7,Giants,Sat 1 May 12:00pm,47.36363636363637,R:7_P:Taylor Walker,R:7_P:Taylor Walker_FO,1
79,Taylor Walker,366000,Crows,FO,10,Demons,Sat 22 May 12:00pm,42.54545454545455,R:10_P:Taylor Walker,R:10_P:Taylor Walker_FO,1
80,Taylor Walker,366000,Crows,FO,12,Magpies,Sat 5 Jun 12:00pm,41.54545454545455,R:12_P:Taylor Walker,R:12_P:Taylor Walker_FO,1
81,Taylor Walker,366000,Crows,FO,16,Lions,Sat 3 Jul 12:00pm,61.90909090909091,R:16_P:Taylor Walker,R:16_P:Taylor Walker_FO,1
82,Taylor Walker,366000,Crows,FO,18,Eagles,Sat 17 Jul 12:00pm,45.36363636363637,R:18_P:Taylor Walker,R:18_P:Taylor Walker_FO,1
83,Taylor Walker,366000,Crows,FO,20,Hawks,Sat 31 Jul 12:00pm,52.54545454545455,R:20_P:Taylor Walker,R:20_P:Taylor Walker_FO,1
84,Taylor Walker,366000,Crows,FO,21,Power,Sat 7 Aug 12:00pm,59.45454545454545,R:21_P:Taylor Walker,R:21_P:Taylor Walker_FO,1
85,Taylor Walker,366000,Crows,FO,23,Kangaroos,Sat 21 Aug 12:00pm,47.18181818181818,R:23_P:Taylor Walker,R:23_P:Taylor Walker_FO,1
86,Taylor Walker,366000,Crows,FO,2,Swans,Sat 27 Mar 1:45pm,54.5,R:2_P:Taylor Walker,R:2_P:Taylor Walker_FO,1
87,Taylor Walker,366000,Crows,FO,4,Kangaroos,Sun 11 Apr 1:10pm,47.18181818181818,R:4_P:Taylor Walker,R:4_P:Taylor Walker_FO,1
88,Taylor Walker,366000,Crows,FO,6,Hawks,Sun 25 Apr 12:30pm,52.54545454545455,R:6_P:Taylor Walker,R:6_P:Taylor Walker_FO,1
89,Taylor Walker,366000,Crows,FO,8,Power,Sat 8 May 12:00pm,59.45454545454545,R:8_P:Taylor Walker,R:8_P:Taylor Walker_FO,1
90,Taylor Walker,366000,Crows,FO,9,Eagles,Sat 15 May 12:00pm,45.36363636363637,R:9_P:Taylor Walker,R:9_P:Taylor Walker_FO,1
91,Taylor Walker,366000,Crows,FO,11,Tigers,Sat 29 May 12:00pm,36.09090909090909,R:11_P:Taylor Walker,R:11_P:Taylor Walker_FO,1
92,Taylor Walker,366000,Crows,FO,13,Saints,Sat 12 Jun 12:00pm,34.36363636363637,R:13_P:Taylor Walker,R:13_P:Taylor Walker_FO,1
93,Taylor Walker,366000,Crows,FO,15,Blues,Sat 26 Jun 12:00pm,44.45454545454545,R:15_P:Taylor Walker,R:15_P:Taylor Walker_FO,1
94,Taylor Walker,366000,Crows,FO,17,Bombers,Sat 10 Jul 12:00pm,44.54545454545455,R:17_P:Taylor Walker,R:17_P:Taylor Walker_FO,1
95,Taylor Walker,366000,Crows,FO,19,Bulldogs,Sat 24 Jul 12:00pm,43.90909090909091,R:19_P:Taylor Walker,R:19_P:Taylor Walker_FO,1
96,Taylor Walker,366000,Crows,FO,22,Demons,Sat 14 Aug 12:00pm,42.54545454545455,R:22_P:Taylor Walker,R:22_P:Taylor Walker_FO,1
97,Rory Sloane,580000,Crows,MI,3,Suns,Fri 2 Apr 7:20pm,77.9090909090909,R:3_P:Rory Sloane,R:3_P:Rory Sloane_MI,1
98,Rory Sloane,580000,Crows,MI,5,Dockers,Sun 18 Apr 12:40pm,68.0,R:5_P:Rory Sloane,R:5_P:Rory Sloane_MI,1
99,Rory Sloane,580000,Crows,MI,7,Giants,Sat 1 May 12:00pm,78.81818181818181,R:7_P:Rory Sloane,R:7_P:Rory Sloane_MI,1
