,Name,Price,Team 1,Position,Round,Team 2,Score,id,pl_pos_id,is_selected
72,Taylor Walker,366000,Crows,FO,13,Saints,34.36363636363637,R:13_P:Taylor Walker,R:13_P:Taylor Walker_FO,1
73,Rory Sloane,580000,Crows,MI,3,Suns,77.9090909090909,R:3_P:Rory Sloane,R:3_P:Rory Sloane_MI,1
74,Rory Sloane,580000,Crows,MI,5,Dockers,68.0,R:5_P:Rory Sloane,R:5_P:Rory Sloane_MI,1
75,Rory Sloane,580000,Crows,MI,7,Giants,78.81818181818181,R:7_P:Rory Sloane,R:7_P:Rory Sloane_MI,1
76,Rory Sloane,580000,Crows,MI,10,Demons,81.45454545454545,R:10_P:Rory Sloane,R:10_P:Rory Sloane_MI,1
77,Rory Sloane,580000,Crows,MI,12,Magpies,57.0,R:12_P:Rory Sloane,R:12_P:Rory Sloane_MI,1
78,Rory Sloane,580000,Crows,MI,16,Lions,76.18181818181819,R:16_P:Rory Sloane,R:16_P:Rory Sloane_MI,1
79,Rory Sloane,580000,Crows,MI,18,Eagles,71.81818181818181,R:18_P:Rory Sloane,R:18_P:Rory Sloane_MI,1
80,Rory Sloane,580000,Crows,MI,20,Hawks,77.81818181818181,R:20_P:Rory Sloane,R:20_P:Rory Sloane_MI,1
81,Rory Sloane,580000,Crows,MI,21,Power,85.0,R:21_P:Rory Sloane,R:21_P:Rory Sloane_MI,1
82,Rory Sloane,580000,Crows,MI,2,Swans,84.58333333333333,R:2_P:Rory Sloane,R:2_P:Rory Sloane_MI,1
83,Rory Sloane,580000,Crows,MI,4,Kangaroos,59.63636363636363,R:4_P:Rory Sloane,R:4_P:Rory Sloane_MI,1
84,Rory Sloane,580000,Crows,MI,6,Hawks,77.81818181818181,R:6_P:Rory Sloane,R:6_P:Rory Sloane_MI,1
85,Rory Sloane,580000,Crows,MI,8,Power,85.0,R:8_P:Rory Sloane,R:8_P:Rory Sloane_MI,1
